mode,name,type
NULLABLE,client_event_time,TIMESTAMP
NULLABLE,ip_address,STRING
NULLABLE,library,STRING
NULLABLE,dma,STRING
NULLABLE,user_creation_time,TIMESTAMP
NULLABLE,insert_id,STRING
NULLABLE,schema,INTEGER
NULLABLE,processed_time,TIMESTAMP
NULLABLE,client_upload_time,TIMESTAMP
NULLABLE,app,INTEGER
NULLABLE,user_id,STRING
NULLABLE,city,STRING
NULLABLE,event_type,STRING
NULLABLE,device_carrier,STRING
NULLABLE,location_lat,STRING
NULLABLE,event_time,TIMESTAMP
NULLABLE,platform,STRING
NULLABLE,is_attribution_event,BOOLEAN
NULLABLE,os_version,INTEGER
NULLABLE,paying,BOOLEAN
NULLABLE,amplitude_id,INTEGER
NULLABLE,device_type,STRING
NULLABLE,sample_rate,STRING
NULLABLE,device_manufacturer,STRING
NULLABLE,start_version,STRING
NULLABLE,uuid,STRING
NULLABLE,version_name,STRING
NULLABLE,location_lng,STRING
NULLABLE,server_upload_time,TIMESTAMP
NULLABLE,event_id,INTEGER
NULLABLE,device_id,STRING
NULLABLE,device_family,STRING
NULLABLE,os_name,STRING
NULLABLE,adid,STRING
NULLABLE,amplitude_event_type,STRING
NULLABLE,device_brand,STRING
NULLABLE,country,STRING
NULLABLE,device_model,STRING
NULLABLE,language,STRING
NULLABLE,region,STRING
NULLABLE,session_id,INTEGER
NULLABLE,idfa,STRING
